id,little,ring,middle,index,thumb
0,547,561,534,564,455
1,547,562,534,565,455
2,544,564,535,559,457
3,553,568,526,547,453
4,545,557,541,569,455
5,541,556,533,569,465
6,545,561,533,563,454
7,545,561,532,563,453
8,545,563,531,561,458
9,547,561,529,560,450
10,550,564,529,560,453
11,539,562,542,559,449
12,542,560,534,564,455
13,547,562,533,565,456
14,548,562,534,565,456
15,543,560,539,572,465
16,554,561,535,568,451
17,549,562,533,559,469
18,548,563,535,570,459
19,546,561,533,564,455
20,546,561,532,562,456
21,543,561,533,565,468
22,543,557,534,571,453
23,543,562,539,567,446
24,542,566,538,563,455
25,544,562,534,565,456
26,543,561,534,565,456
27,540,562,534,564,456
28,535,555,523,565,460
29,538,560,524,563,463
30,524,559,535,561,448
31,524,556,531,572,454
32,533,559,529,562,457
33,533,559,528,563,456
34,533,554,526,562,462
35,533,562,522,562,464
36,533,562,535,568,458
37,544,566,532,557,456
38,537,560,531,563,458
39,537,559,468,564,459
40,529,558,500,559,459
41,541,558,521,556,447
42,537,557,525,565,459
43,537,562,518,548,460
44,536,559,521,562,459
45,539,559,520,563,458
46,538,559,520,562,458
47,535,555,520,577,458
48,544,564,518,556,459
49,532,556,523,564,460
50,539,558,521,568,462
51,540,561,522,564,459
52,540,561,522,564,460
53,542,563,523,565,457
54,545,556,514,568,453
55,539,564,525,566,457
56,538,552,524,568,464
57,539,561,522,562,459
58,539,561,523,563,458
59,539,561,522,561,462
60,550,564,519,553,456
61,544,563,516,562,468
62,550,559,518,567,452
63,543,562,525,562,456
64,540,561,524,563,459
65,541,561,524,563,460
66,547,558,523,562,466
67,546,568,526,550,446
68,549,559,515,552,467
69,536,560,522,559,451
70,540,561,523,563,458
71,539,560,523,563,457
72,539,560,523,564,453
73,537,563,521,558,457
74,532,561,530,563,452
75,549,556,523,569,459
76,535,557,521,564,457
77,540,561,524,563,457
78,541,561,525,563,458
79,534,563,529,564,453
80,536,553,520,562,453
81,543,565,523,566,455
82,550,559,517,561,464
83,540,560,524,562,457
84,539,559,524,562,466
85,540,560,523,564,457
86,541,559,520,554,461
87,544,564,521,560,463
88,536,560,524,557,463
89,538,561,526,564,458
90,543,562,526,564,457
91,545,562,526,565,455
92,543,562,520,555,444
93,540,557,528,567,454
94,544,562,523,564,464
95,536,564,527,566,456
96,542,561,525,564,456
97,542,560,524,563,454
98,539,559,526,559,454
99,546,562,511,561,467
100,541,554,522,578,464
101,540,560,519,550,452
102,543,562,525,564,456
103,543,562,526,565,457
104,544,562,524,570,460
105,538,560,533,569,455
106,537,563,530,561,443
107,542,563,524,555,467
108,533,560,527,563,455
109,542,561,525,564,454
110,542,560,525,563,454
111,544,563,519,558,450
112,535,565,526,555,456
113,540,567,534,560,451
114,536,556,528,568,450
115,541,561,527,564,455
116,542,561,526,564,456
117,541,562,529,562,442
118,545,564,529,573,453
119,539,563,528,564,450
120,542,554,527,568,458
121,545,564,526,563,455
122,540,561,526,563,453
123,540,561,526,563,454
124,543,561,514,551,456
125,539,560,527,568,460
126,536,562,528,570,450
127,539,558,522,567,461
128,537,561,525,564,454
129,537,561,524,564,455
130,535,561,528,560,453
131,530,568,525,557,452
132,533,556,523,574,462
133,537,560,527,557,444
134,539,561,523,563,455
135,540,560,524,563,454
136,539,560,524,561,454
137,533,561,518,566,464
138,526,559,528,563,445
139,536,563,519,557,460
140,549,562,523,565,463
141,540,561,524,564,456
142,537,561,524,564,456
143,542,560,519,562,468
144,543,563,520,560,469
145,538,559,526,560,451
146,543,564,523,572,457
147,540,561,524,562,458
148,539,561,524,563,457
149,539,560,526,565,456
150,542,561,519,556,458
151,542,556,522,568,457
152,549,558,520,566,456
153,540,560,521,565,459
154,541,561,525,563,458
155,542,561,525,564,459
156,535,558,526,568,464
157,539,558,527,566,458
158,547,562,518,555,471
159,552,560,519,557,463
160,540,561,525,562,457
161,540,561,525,562,457
162,542,561,523,562,458
163,532,557,521,561,446
164,535,559,525,570,457
165,533,559,525,562,450
166,547,561,525,564,458
167,540,561,526,564,459
168,540,562,526,564,458
169,544,557,519,567,468
170,535,559,532,565,452
171,545,564,520,565,461
172,545,567,520,550,463
173,538,561,524,564,458
174,537,561,523,562,457
175,540,560,524,565,455
176,537,557,515,564,467
177,543,565,524,558,457
178,547,558,521,571,452
179,540,561,526,563,459
180,540,562,525,564,459
181,539,562,526,564,461
182,548,566,520,560,453
183,526,566,528,568,466
184,537,557,518,565,460
185,538,561,523,572,460
186,539,561,525,562,458
187,539,561,524,563,457
188,538,561,524,561,455
189,546,564,518,563,464
190,538,563,528,559,454
191,535,560,522,562,445
192,541,562,525,564,459
193,541,562,525,564,457
194,542,562,525,565,458
195,541,559,535,566,453
196,537,557,528,570,458
197,539,559,528,562,448
198,547,565,525,563,462
199,540,561,524,563,457
200,539,561,524,563,458
201,537,561,522,560,458
202,538,556,514,568,468
203,543,564,522,558,458
204,531,559,528,557,464
205,541,562,525,564,459
206,541,562,525,564,460
207,541,562,524,561,463
208,537,566,534,558,457
209,544,562,519,560,466
210,556,565,521,552,462
211,540,563,527,565,456
212,541,561,524,563,461
213,540,560,524,562,459
214,539,560,521,560,461
215,542,559,517,554,464
216,539,562,526,564,449
217,540,563,517,552,461
218,540,561,525,563,461
219,538,561,525,563,462
220,538,561,527,558,464
221,542,562,516,559,465
222,535,566,526,560,461
223,548,562,517,565,466
224,536,562,527,568,458
225,536,560,524,563,460
226,537,560,523,562,459
227,534,559,535,565,454
228,538,554,519,565,454
229,544,563,521,559,457
230,544,569,527,563,458
231,539,559,523,563,461
232,539,559,524,564,462
233,539,558,523,564,463
234,542,559,519,563,459
235,536,557,528,565,457
236,527,563,525,562,459
237,542,561,526,564,459
238,539,559,523,563,461
239,538,558,523,562,461
240,540,562,525,563,457
241,544,561,521,562,466
242,531,562,532,563,457
243,545,561,519,553,464
244,537,558,524,561,461
245,539,559,524,563,462
