id,little,ring,middle,index,thumb
265,322,369,450,461,524
266,324,367,446,462,523
267,324,366,447,464,522
268,330,372,438,461,523
269,313,373,439,460,528
270,325,363,445,468,522
271,331,365,448,463,523
272,327,366,449,463,523
273,326,368,449,464,523
274,338,365,443,469,523
275,333,369,450,469,521
276,329,352,466,473,526
277,323,365,447,465,520
278,326,369,448,460,523
279,323,366,445,461,522
280,330,365,435,462,524
281,310,363,435,462,526
282,348,350,425,467,530
283,318,376,457,465,519
284,325,368,445,464,524
285,325,367,452,464,524
286,323,369,448,467,518
287,332,344,440,478,520
288,326,363,434,472,531
289,317,366,461,470,520
290,330,368,449,463,523
291,324,364,447,463,523
292,321,365,445,461,524
293,313,363,453,463,517
294,318,357,453,471,520
295,337,351,425,474,531
296,324,365,452,467,523
297,326,367,449,464,524
298,328,369,452,463,521
299,339,382,442,461,526
300,317,380,450,467,520
301,329,359,448,465,525
302,323,369,452,465,521
303,328,367,452,465,523
304,325,366,445,465,524
305,324,366,453,459,524
306,310,373,469,457,522
307,341,368,433,463,530
308,321,367,442,466,524
309,325,370,453,464,525
310,326,369,452,465,524
311,335,370,447,457,523
312,323,368,472,472,519
313,323,366,463,452,526
314,334,369,447,470,522
315,326,369,450,461,523
316,326,366,446,464,523
317,322,377,449,459,521
318,309,356,450,467,524
319,316,361,461,479,518
320,324,370,458,467,520
321,325,369,452,467,523
322,330,371,453,463,524
323,332,369,464,465,528
324,332,370,462,465,527
325,335,357,449,476,519
326,322,368,460,469,519
327,329,369,450,463,523
328,326,366,452,463,525
329,336,373,448,464,525
330,324,373,451,449,523
331,321,367,465,464,516
332,315,369,443,469,524
333,330,372,449,464,522
334,328,372,447,466,523
335,327,372,451,463,521
336,319,366,463,473,519
337,331,369,461,456,521
338,332,372,442,473,529
339,326,378,462,462,524
340,327,370,450,467,522
341,327,368,448,464,521
342,324,364,446,473,519
343,315,352,471,478,522
344,337,359,439,467,528
345,322,372,458,467,525
346,328,367,451,466,524
347,328,369,455,464,524
348,334,376,469,462,520
349,327,388,457,465,523
350,334,374,452,463,526
351,343,377,456,456,518
352,326,369,452,466,524
353,325,368,449,464,523
354,337,369,458,467,519
355,334,358,441,480,529
356,327,379,441,462,529
357,339,364,433,461,532
358,323,368,453,467,522
359,328,370,454,466,523
360,320,373,460,460,523
361,318,364,465,466,516
362,316,374,471,466,525
363,324,378,459,458,520
364,328,368,450,464,521
365,326,368,451,466,522
366,324,368,448,466,521
367,329,363,451,461,525
368,336,367,442,469,527
369,334,369,441,462,525
370,337,372,442,461,525
371,327,369,454,465,525
372,327,369,455,466,523
373,330,377,469,464,520
374,338,380,432,461,529
375,327,365,458,464,523
376,320,362,452,467,529
377,328,367,452,462,522
