id,little,ring,middle,index,thumb
0,318,376,0,558,459
1,319,375,0,555,459
2,334,375,0,560,464
3,313,372,0,552,459
4,336,384,0,556,461
5,335,369,0,556,460
6,320,378,0,555,461
7,319,378,2,555,461
8,317,378,13,556,462
9,296,380,31,555,460
10,334,377,0,559,465
11,329,385,23,547,464
12,306,365,56,561,455
13,317,377,9,555,461
14,317,375,0,555,461
15,316,376,0,556,460
16,319,372,0,547,449
17,335,366,0,564,462
18,321,373,0,560,458
19,328,388,11,559,459
20,326,378,0,556,462
21,321,378,0,557,463
22,323,376,10,558,461
23,322,361,19,565,462
24,324,381,1,563,472
25,316,385,0,548,476
26,336,395,4,544,463
27,321,366,9,556,460
28,318,377,3,556,460
29,316,376,0,556,460
30,322,375,0,556,462
31,298,381,35,552,440
32,314,373,13,555,454
33,324,363,0,565,460
34,313,374,0,558,462
35,322,378,0,558,462
36,322,379,7,557,462
37,315,379,10,558,466
38,322,381,0,550,479
39,315,389,27,551,459
40,312,367,28,548,453
41,314,372,0,552,460
42,321,376,5,557,462
43,321,376,0,557,462
44,318,374,0,553,470
45,312,390,0,557,456
46,337,377,0,553,462
47,333,382,0,548,473
48,320,367,0,552,463
49,324,378,0,556,463
50,323,378,4,557,463
51,321,373,3,558,465
52,312,381,38,550,458
53,318,375,75,550,457
54,341,367,0,569,471
55,330,366,4,551,463
56,321,376,7,557,461
57,321,376,0,557,462
58,320,377,7,559,459
59,325,379,0,551,469
60,317,377,4,553,464
61,306,365,0,557,455
62,329,373,12,551,464
63,319,378,0,558,462
64,319,379,3,557,462
65,319,378,11,557,467
66,326,385,30,548,465
67,325,383,10,564,470
68,310,381,53,566,452
69,325,385,1,558,459
70,319,377,8,557,462
71,320,377,0,557,462
72,319,376,0,556,461
73,315,371,9,571,461
74,316,368,0,561,460
75,335,365,0,566,471
76,327,373,0,559,471
77,317,376,0,557,462
78,323,376,1,556,462
79,323,378,7,557,462
80,310,375,12,561,467
81,312,369,23,575,460
82,323,374,14,555,456
83,336,358,25,566,468
84,329,374,11,556,460
85,321,376,4,556,461
86,321,377,0,556,461
87,322,371,0,555,465
88,314,361,5,569,459
89,320,361,0,557,469
90,335,372,0,555,465
91,316,376,0,559,463
92,325,379,1,556,463
93,325,377,6,558,463
94,322,380,26,554,460
95,315,387,27,539,456
96,328,372,0,568,470
97,301,371,41,562,452
98,324,375,11,555,460
99,323,377,7,556,462
100,321,375,0,556,462
101,321,378,0,557,459
102,311,389,10,546,456
103,327,388,0,562,464
104,311,365,21,558,460
105,313,381,11,566,465
106,324,379,0,557,462
107,324,379,5,556,462
108,320,382,0,560,467
109,320,392,11,548,462
110,314,393,42,549,464
111,315,377,40,560,459
112,318,386,37,554,461
113,320,377,4,555,463
114,321,377,0,555,462
115,320,381,0,558,460
116,310,379,0,553,463
117,325,375,0,560,468
118,341,381,0,548,456
119,321,374,3,562,458
120,324,379,0,556,463
121,324,380,3,556,463
122,323,379,8,555,464
123,326,384,33,557,452
124,330,360,32,568,456
125,299,377,49,562,457
126,330,379,40,559,470
127,320,377,11,556,462
128,322,378,0,555,462
129,321,377,0,556,463
130,317,372,6,554,458
131,334,396,0,558,459
132,309,387,16,547,451
133,333,380,0,555,465
134,323,379,0,557,463
135,325,379,3,557,464
136,324,379,9,556,464
137,331,383,2,548,461
138,324,388,50,558,466
139,322,379,17,560,474
140,317,389,17,550,463
141,321,377,9,557,462
142,319,377,1,555,462
143,320,378,0,556,462
144,316,384,0,566,461
145,312,374,0,567,461
146,316,372,0,564,476
147,311,371,0,561,463
148,318,379,0,553,463
149,323,379,0,557,464
150,322,380,8,556,463
151,310,384,22,561,458
152,321,377,34,558,452
153,332,375,11,559,466
154,329,380,0,550,479
155,306,386,16,562,459
156,322,379,5,556,462
157,320,378,0,555,463
158,331,383,0,560,456
159,304,374,13,563,464
160,320,366,0,557,461
161,318,374,0,547,455
162,334,386,0,553,461
163,324,381,0,557,464
164,324,380,5,557,464
165,321,382,7,554,467
166,319,385,23,565,462
167,346,374,0,563,469
168,321,388,47,545,470
169,320,383,0,550,469
170,324,380,6,556,461
171,325,380,0,555,461
172,322,380,0,555,458
173,316,391,0,545,472
174,309,382,0,552,466
175,342,360,0,556,465
176,319,400,0,551,472
177,321,380,0,555,462
178,324,382,1,555,463
179,325,383,12,557,462
180,334,374,16,560,463
181,298,379,19,546,457
182,328,376,47,555,449
183,331,389,30,559,469
184,320,381,12,555,462
185,322,380,2,555,462
186,322,379,0,555,461
187,336,389,0,550,456
188,309,403,0,548,464
189,324,366,0,566,463
190,318,390,0,558,461
191,323,379,0,556,463
192,325,382,0,555,463
193,325,383,7,555,464
194,318,390,8,558,470
195,316,386,62,548,443
196,315,380,31,555,468
197,316,380,11,564,453
198,306,378,3,553,464
199,322,380,5,554,462
200,321,379,0,554,462
201,322,383,0,557,458
202,324,370,0,569,462
203,309,388,0,560,461
204,336,391,0,558,458
205,313,386,14,558,468
206,324,382,0,556,463
207,326,382,5,556,464
208,323,379,18,559,468
209,319,380,25,552,460
210,316,368,29,559,456
211,326,386,0,551,465
212,320,387,39,558,460
213,323,381,7,555,462
214,323,379,0,556,462
215,321,380,0,554,461
216,344,374,0,562,468
217,313,383,0,554,456
218,326,372,23,549,456
219,323,390,0,552,472
220,325,383,0,557,463
221,323,382,4,556,463
222,325,383,10,557,464
223,320,378,29,556,468
224,329,394,0,553,472
225,317,389,41,552,464
226,324,387,17,559,456
227,323,380,10,556,463
228,322,381,1,556,463
229,323,380,0,556,462
230,304,376,5,561,456
231,307,389,6,550,457
232,329,375,0,568,469
233,332,374,8,558,463
234,323,377,0,557,463
235,325,383,2,557,462
236,326,384,10,557,463
237,330,387,18,564,466
238,341,387,0,553,484
239,319,392,30,559,465
240,337,379,8,546,467
241,330,393,24,562,464
242,323,381,5,556,461
243,322,381,0,556,462
244,330,375,0,555,455
245,300,371,3,565,456
246,305,378,0,563,457
247,318,381,0,552,460
248,321,368,0,556,466
249,326,382,0,556,463
250,326,381,2,558,462
251,328,384,13,558,466
252,330,381,18,565,469
253,315,382,80,553,457
254,337,393,20,545,467
