id,index,middle,ring,little,thumb
265,558,527,543,521,431
266,549,533,545,520,420
267,563,539,561,533,429
268,561,529,548,533,424
269,564,534,549,531,420
270,560,532,549,530,429
271,560,523,548,539,425
272,566,533,548,538,426
273,568,523,540,526,431
274,549,527,549,536,410
275,559,535,550,529,426
276,560,531,547,528,424
277,567,538,550,533,414
278,541,531,557,535,428
279,566,535,548,521,415
280,565,526,545,537,410
281,554,526,542,530,423
282,562,533,549,526,427
283,561,533,549,530,427
284,565,541,551,526,426
285,553,529,545,520,416
286,572,543,551,510,412
287,558,537,552,530,421
288,559,534,550,529,429
289,557,531,549,532,441
290,548,533,548,540,452
291,555,526,542,542,455
292,549,530,545,513,460
293,560,547,544,534,463
294,566,539,543,528,457
295,559,531,552,527,455
296,560,532,548,531,451
297,550,529,549,538,463
298,552,515,558,557,474
299,563,552,552,517,449
300,565,532,538,531,449
301,556,529,547,527,444
302,557,531,546,530,448
303,561,525,547,528,441
304,554,532,544,529,456
305,568,522,537,530,450
306,549,532,544,533,443
307,558,541,559,551,442
308,561,530,548,535,443
309,562,532,549,537,446
310,569,539,546,537,443
311,564,512,538,543,452
312,557,547,554,525,443
313,556,530,555,527,438
314,558,530,548,529,445
315,560,533,547,533,437
316,555,536,548,535,438
317,568,540,546,541,440
318,550,531,549,549,456
319,552,541,561,542,445
320,558,554,554,542,443
321,559,541,553,541,439
322,562,539,552,540,440
323,561,548,554,530,443
324,554,551,560,532,434
325,556,541,555,531,431
326,559,540,551,526,437
327,559,537,552,543,437
328,564,540,553,540,437
329,563,540,551,531,435
330,566,536,554,539,439
331,577,535,538,552,440
332,564,535,564,545,440
333,565,545,557,557,432
334,569,541,552,531,440
335,572,543,554,533,438
336,577,541,555,530,432
337,582,549,546,531,450
338,570,549,547,532,428
339,570,546,554,550,440
340,570,547,558,548,432
341,567,546,555,531,435
342,570,544,552,534,434
343,575,544,550,527,435
344,569,559,555,494,417
345,581,550,548,525,445
346,574,531,557,530,431
347,569,542,553,540,434
348,575,545,553,531,439
349,574,539,551,529,436
350,575,552,547,526,430
351,566,529,547,567,447
352,566,554,549,548,430
353,572,558,553,535,443
354,568,546,552,533,434
355,571,544,553,536,435
356,561,532,547,543,439
357,564,548,553,522,420
358,565,538,564,525,436
359,574,542,550,527,435
360,567,541,556,542,432
361,572,547,554,536,437
362,569,547,553,538,433
363,578,548,545,535,435
364,562,561,545,517,426
365,572,529,553,549,435
366,567,546,549,539,438
367,567,544,551,538,433
368,569,544,552,531,436
369,565,545,544,548,442
370,570,547,552,524,444
371,577,538,551,537,420
372,578,537,556,547,450
373,572,540,547,533,444
374,569,542,552,540,438
375,569,544,552,539,440
376,563,532,557,548,438
377,572,551,550,528,443
378,556,548,554,533,447
379,574,552,544,528,430
380,570,541,552,538,440
381,566,545,550,537,436
382,571,539,553,535,444
383,573,552,553,517,429
384,560,540,566,526,420
385,560,516,555,539,453
386,566,539,555,545,439
387,571,541,553,537,442
388,570,545,552,536,437
389,564,548,560,535,430
390,589,548,543,522,434
391,558,545,555,527,451
392,560,546,560,532,427
393,565,542,551,544,435
394,570,543,553,528,441
395,565,543,552,531,435
396,570,534,556,531,429
397,563,544,562,534,442
398,561,528,565,552,434
399,559,539,565,539,440
400,572,544,553,532,440
401,569,544,553,536,440
402,569,549,551,542,440
403,572,538,560,546,435
404,572,551,542,519,425
405,557,543,560,553,436
406,569,546,546,522,441
407,566,546,553,527,438
408,568,540,550,532,436
409,570,543,550,539,437
410,577,551,552,501,424
411,573,547,540,540,440
412,568,544,564,534,422
