id,little,ring,middle,index,thumb
0,538,540,518,564,495
1,540,533,519,556,488
2,541,536,518,564,502
3,545,541,526,569,497
4,538,538,524,565,495
5,537,539,525,566,495
6,538,539,523,570,493
7,534,543,531,560,495
8,545,543,523,561,496
9,527,542,529,566,497
10,538,540,527,566,496
11,539,539,527,566,496
12,539,540,527,566,500
13,531,535,524,572,501
14,539,537,525,575,501
15,545,542,526,568,496
16,537,533,527,565,498
17,538,539,525,565,496
18,537,539,525,564,497
19,535,541,531,568,492
20,537,534,523,573,493
21,532,537,530,562,494
22,541,538,525,560,500
23,539,538,524,566,498
24,539,538,525,566,498
25,544,541,522,555,496
26,542,542,534,565,493
27,542,538,518,572,503
28,540,538,529,573,497
29,537,537,524,568,498
30,537,537,523,565,497
31,536,538,518,557,497
32,544,539,514,562,500
33,543,537,515,556,500
34,541,541,518,558,498
35,538,537,523,565,498
36,535,536,525,562,498
37,540,537,527,569,497
38,530,537,526,569,506
39,535,539,531,570,496
40,532,535,523,563,504
41,537,534,524,565,498
42,536,534,523,565,498
43,534,534,523,561,497
44,537,532,526,577,501
45,541,534,518,562,500
46,547,541,522,569,503
47,537,530,520,567,498
48,538,535,522,567,499
49,538,535,523,566,499
50,541,538,524,563,498
51,526,532,523,565,496
52,529,537,528,571,495
53,533,530,519,571,498
54,536,533,520,566,497
55,536,533,519,566,497
56,538,535,523,568,497
57,536,522,517,572,497
58,536,532,523,574,491
59,535,536,529,565,497
60,536,533,520,567,498
61,536,533,521,568,499
62,537,537,518,571,504
63,550,532,508,557,496
64,543,533,513,556,502
65,547,529,510,564,502
66,536,531,519,566,498
67,535,531,518,565,498
68,537,530,520,564,497
69,532,523,511,572,500
70,541,531,510,562,496
71,539,533,526,563,494
72,536,530,517,566,499
73,536,532,518,566,499
74,536,531,518,568,499
75,538,537,524,572,500
76,539,536,521,562,500
77,534,527,524,574,494
78,526,532,516,566,499
79,535,531,517,566,498
80,535,532,516,564,499
81,536,532,513,561,502
82,532,532,522,567,489
83,538,532,513,566,507
84,541,541,518,564,490
85,535,533,518,567,499
86,536,533,519,566,499
87,537,535,515,570,500
88,528,530,525,568,496
89,537,538,526,563,495
90,534,538,523,564,485
91,535,533,518,566,501
92,535,533,518,565,514
93,533,535,520,565,522
94,535,527,513,568,510
95,541,532,517,562,503
96,542,533,520,568,509
97,535,532,519,566,509
98,537,532,519,567,509
99,536,532,520,566,508
100,541,529,519,566,506
101,536,532,520,570,512
102,535,532,509,570,515
103,533,527,520,566,508
104,535,531,519,565,509
105,536,534,521,565,510
106,538,537,533,559,504
107,537,522,515,569,507
108,536,537,525,563,508
109,527,533,523,577,511
110,537,534,521,567,509
111,537,534,523,567,509
112,535,532,523,572,506
113,549,532,513,564,512
114,535,531,511,574,518
115,535,533,519,579,513
116,536,534,522,566,508
117,535,535,521,565,509
118,535,533,519,568,508
119,545,538,520,563,513
120,540,535,517,567,515
121,533,543,534,578,504
122,538,541,528,566,509
123,538,538,527,567,510
124,539,538,527,566,510
125,539,539,524,578,513
126,545,539,523,563,512
127,547,545,530,565,506
128,533,543,532,567,509
129,538,542,530,565,508
130,536,541,530,566,508
131,533,536,522,567,513
132,533,537,536,573,505
133,549,550,530,564,516
134,531,543,534,569,513
135,537,542,532,568,509
136,537,543,533,566,509
137,542,547,526,564,516
138,544,541,532,576,508
139,536,540,530,565,507
140,534,545,534,570,510
141,537,542,532,566,508
142,537,541,531,566,508
143,536,543,530,564,506
144,527,541,528,552,506
145,536,545,536,566,505
146,544,545,533,573,504
147,537,542,532,567,509
148,538,543,532,568,509
149,539,542,533,570,508
150,531,547,541,562,506
151,529,542,538,571,507
152,541,545,533,561,506
153,546,539,535,569,509
154,536,542,530,567,508
155,536,542,529,566,508
156,527,539,536,574,502
157,531,541,531,566,504
158,548,546,530,567,516
159,529,541,532,572,513
160,537,542,532,568,510
161,538,542,531,568,510
162,540,546,528,568,508
