id,little,ring,middle,index,thumb
0,408,342,536,563,461
1,409,343,536,564,462
2,409,343,536,566,462
3,410,340,535,564,461
4,409,341,535,564,462
5,409,341,536,564,462
6,409,339,536,564,462
7,408,338,535,563,461
8,408,338,535,563,462
9,407,338,535,563,462
10,408,335,534,564,460
11,409,334,534,563,461
12,409,335,535,565,460
13,410,337,535,564,461
14,410,339,536,564,460
15,410,340,536,563,459
16,410,341,536,564,459
17,412,342,536,564,461
18,410,342,536,562,461
19,406,342,536,563,462
20,409,341,536,564,464
21,409,341,535,564,463
22,404,340,536,564,455
23,386,336,536,564,450
24,383,350,536,564,456
25,385,352,535,565,459
26,386,350,537,565,462
27,389,349,536,566,464
28,393,351,537,566,465
29,396,351,537,567,465
30,399,354,536,566,466
31,402,353,536,566,466
32,404,354,537,567,467
33,405,353,535,567,467
34,405,356,536,566,467
35,405,354,535,568,473
36,407,353,534,567,475
37,407,346,534,567,476
38,408,342,534,567,478
39,409,341,535,567,477
40,409,342,532,567,477
41,408,342,534,567,476
42,407,345,533,566,473
43,407,351,533,563,473
44,410,352,533,563,473
45,410,356,533,563,472
46,409,358,534,564,472
47,410,361,533,564,471
48,411,365,534,563,471
49,412,361,533,564,470
50,412,358,535,564,470
51,412,354,534,564,470
52,412,352,532,563,467
53,413,348,533,563,467
54,413,346,533,563,465
55,413,347,532,564,465
56,414,345,532,565,465
57,413,349,531,563,466
58,413,352,532,564,465
59,413,352,532,563,465
60,413,353,532,564,465
61,414,357,534,563,465
62,414,359,533,564,466
63,413,357,532,564,466
64,411,362,532,562,465
65,413,357,532,564,465
66,414,357,533,563,464
67,413,354,532,564,464
68,414,353,533,564,464
69,413,350,532,564,464
70,414,348,532,564,464
71,413,349,531,566,460
72,415,340,530,564,463
73,413,350,531,564,464
74,414,350,531,565,464
75,415,353,531,564,464
76,414,356,531,563,464
77,415,356,531,564,463
78,415,358,531,563,464
79,419,357,529,568,459
80,416,361,531,564,464
81,415,356,531,564,463
82,416,355,531,565,464
83,415,355,532,562,464
84,415,353,532,564,463
85,416,351,531,564,463
86,418,351,532,569,465
87,415,350,531,564,463
88,416,349,531,564,462
89,414,352,531,564,463
90,416,354,531,563,462
91,414,353,531,564,462
92,415,356,531,564,461
93,414,359,531,570,463
94,414,361,531,564,461
95,414,363,531,564,459
96,415,361,531,564,458
97,416,359,531,563,458
98,416,358,531,563,459
99,416,355,531,564,457
100,416,354,531,564,457
101,418,351,535,559,455
102,416,349,531,564,457
103,415,350,531,565,457
104,415,351,531,563,457
105,415,357,532,564,456
106,415,355,531,564,456
107,415,353,531,564,456
108,415,362,531,563,455
109,415,360,531,564,455
110,414,362,530,564,456
111,416,363,530,564,455
112,416,360,530,564,456
113,416,360,531,564,456
114,417,359,530,563,455
115,416,358,525,565,457
116,410,352,531,563,454
117,417,354,531,565,454
118,417,351,531,564,453
119,418,350,531,564,453
120,415,354,530,563,453
121,417,354,530,563,454
122,417,356,532,563,452
123,416,356,531,564,453
124,417,360,530,564,453
125,417,361,530,564,453
126,417,365,530,564,454
127,417,364,531,564,454
128,417,361,531,563,453
129,417,362,531,564,453
130,417,360,531,563,454
131,419,358,531,564,454
132,418,355,531,564,453
133,419,354,530,564,454
134,419,353,530,563,453
135,419,352,530,563,454
136,419,354,529,564,453
137,420,359,530,564,454
138,419,358,530,564,454
139,420,361,531,564,455
140,419,364,531,564,454
141,419,366,531,564,455
142,420,366,531,564,455
143,420,367,530,563,455
144,421,363,531,563,456
145,421,364,531,564,457
146,421,362,532,564,457
147,421,356,532,563,457
148,422,356,531,564,457
149,422,362,531,564,457
150,422,351,531,563,457
151,422,356,531,564,458
152,425,356,531,563,457
153,424,359,531,564,458
154,423,361,531,563,457
155,423,363,531,563,457
156,423,367,531,564,457
157,423,368,531,564,457
